Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,12.660,12.660,2,12.910,12.910,4,12.930,12.930,3,12.920,12.920
2,9.740,22.410,4,9.790,22.700,1,9.470,22.400,3,9.550,22.480
3,9.210,31.620,4,9.220,31.920,2,9.190,31.590,1,9.020,31.500
2,9.100,40.730,3,8.840,40.770,3,9.170,40.770,1,9.160,40.660
3,9.070,49.810,4,9.040,49.810,2,8.990,49.760,1,9.020,49.680
4,9.110,58.920,3,8.850,58.660,2,8.850,58.610,1,8.900,58.590
4,8.720,1:07.650,3,8.890,1:07.550,2,8.930,1:07.550,1,8.720,1:07.320
4,9.140,1:16.790,1,8.890,1:16.450,3,8.940,1:16.490,2,9.160,1:16.480
3,9.160,1:25.960,4,10.540,1:27.000,2,9.020,1:25.520,1,8.950,1:25.430
