Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
1,15.76,15.76,3,15.86,15.86,4,15.86,15.86,2,15.83,15.83
3,11.51,27.27,2,11.40,27.26,1,11.36,27.22,4,11.62,27.45
4,10.53,37.80,1,10.18,37.44,3,10.45,37.67,2,10.07,37.52
3,9.67,47.47,1,9.96,47.40,4,9.96,47.63,2,9.94,47.46
2,9.20,56.67,4,21.66,1:09.06,3,9.13,56.76,1,9.12,56.58
2,8.98,1:05.65,4,15.31,1:24.37,3,9.01,1:05.77,1,9.00,1:05.58
2,8.83,1:14.48,4,12.23,1:36.60,3,8.87,1:14.64,1,8.85,1:14.43
2,8.92,1:23.40,4,12.17,1:48.77,1,8.70,1:23.34,3,9.07,1:23.50
2,9.03,1:32.423,0,,notime,1,8.85,1:32.182,3,10.28,1:33.774
