Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
1,6.85,6.85,2,6.98,6.98,3,7.06,7.06,4,7.18,7.18
1,9.20,16.05,2,9.18,16.16,3,9.18,16.24,4,9.18,16.36
1,8.55,24.60,2,8.47,24.63,3,8.51,24.75,4,8.49,24.85
2,8.85,33.45,1,8.62,33.25,4,8.77,33.52,3,8.64,33.49
2,8.74,42.187,1,8.76,42.007,4,9.79,43.303,3,8.75,42.237
