HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,Tamara FREDERICK POSITION,Tamara FREDERICK LAP TIME,Tamara FREDERICK ELAPSED TIME,Louise MILESI POSITION,Louise MILESI LAP TIME,Louise MILESI ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME
5,10.65,10.65,3,10.39,10.39,2,10.38,10.38,1,10.29,10.29,4,10.41,10.41
5,13.31,23.96,2,13.12,23.51,3,13.27,23.65,1,13.08,23.37,4,13.37,23.78
3,12.17,36.13,2,12.51,36.02,4,12.49,36.14,1,12.54,35.91,5,12.51,36.29
4,11.77,47.90,2,11.79,47.81,5,11.96,48.10,3,11.94,47.85,1,11.50,47.79
3,10.44,58.34,1,10.41,58.22,5,10.49,58.59,4,10.61,58.46,2,10.43,58.22
3,10.61,1:08.95,1,10.52,1:08.74,5,10.66,1:09.25,4,10.64,1:09.10,2,10.63,1:08.85
3,10.56,1:19.51,1,10.56,1:19.30,5,10.51,1:19.76,4,10.54,1:19.64,2,10.55,1:19.40
3,10.38,1:29.89,1,10.38,1:29.68,4,10.24,1:30.00,5,10.43,1:30.07,2,10.38,1:29.78
3,10.40,1:40.29,1,10.42,1:40.10,4,10.42,1:40.42,5,10.46,1:40.53,2,10.40,1:40.18
3,11.42,1:51.71,4,12.19,1:52.29,1,10.46,1:50.88,2,10.61,1:51.14,5,19.53,1:59.71
2,10.42,2:02.13,4,22.80,2:15.09,1,10.43,2:01.31,3,11.00,2:02.14,5,19.03,2:18.74
2,9.82,2:11.95,4,13.35,2:28.44,1,10.56,2:11.87,3,11.35,2:13.49,5,13.76,2:32.50
1,9.92,2:21.87,4,11.79,2:40.23,2,10.44,2:22.31,3,11.64,2:25.13,5,11.70,2:44.20
1,10.37,2:32.238,4,11.40,2:51.627,2,10.75,2:33.056,3,12.15,2:37.277,0,,PEN
