Sohan Sudhir TARKAR POSITION,Sohan Sudhir TARKAR LAP TIME,Sohan Sudhir TARKAR ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME
3,10.45,10.45,6,11.41,11.41,5,11.13,11.13,4,10.90,10.90,2,10.15,10.15,1,10.00,10.00
3,12.50,22.95,6,11.98,23.39,5,12.01,23.14,4,12.14,23.04,2,12.63,22.78,1,12.67,22.67
3,12.51,35.46,6,12.52,35.91,5,12.54,35.68,4,12.52,35.56,2,12.51,35.29,1,12.47,35.14
3,12.87,48.33,6,12.85,48.76,5,12.91,48.59,4,12.89,48.45,2,12.88,48.17,1,12.88,48.02
5,12.90,1:01.23,6,12.81,1:01.57,4,12.62,1:01.21,3,12.62,1:01.07,2,12.80,1:00.97,1,12.82,1:00.84
5,12.87,1:14.10,6,12.76,1:14.33,4,12.75,1:13.96,3,12.81,1:13.88,2,12.79,1:13.76,1,12.78,1:13.62
6,12.90,1:27.00,4,12.45,1:26.78,5,12.90,1:26.86,3,12.84,1:26.72,2,12.81,1:26.57,1,12.84,1:26.46
6,11.88,1:38.88,1,10.92,1:37.70,5,11.55,1:38.41,3,11.14,1:37.86,2,11.22,1:37.79,4,11.53,1:37.99
6,11.07,1:49.95,2,10.36,1:48.06,5,10.77,1:49.18,1,10.08,1:47.94,3,10.49,1:48.28,4,10.35,1:48.34
6,11.23,2:01.18,2,9.68,1:57.74,5,11.33,2:00.51,1,9.77,1:57.71,3,9.72,1:58.00,4,9.76,1:58.10
6,11.92,2:13.10,1,8.99,2:06.73,5,12.24,2:12.75,2,9.32,2:07.03,3,9.63,2:07.63,4,9.64,2:07.74
5,12.70,2:25.80,1,8.97,2:15.70,6,13.13,2:25.88,2,9.17,2:16.20,3,9.77,2:17.40,4,9.73,2:17.47
5,13.12,2:38.92,1,9.49,2:25.19,6,13.06,2:38.94,2,9.23,2:25.43,4,10.27,2:27.67,3,9.87,2:27.34
6,13.51,2:52.427,1,9.69,2:34.877,5,13.03,2:51.963,2,9.55,2:34.973,4,11.12,2:38.788,3,10.22,2:37.556
