CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME,KIM Hyun-Kon POSITION,KIM Hyun-Kon LAP TIME,KIM Hyun-Kon ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME
1,14.627,14.627,4,14.918,14.918,2,14.757,14.757,3,14.884,14.884
1,12.487,27.114,4,12.741,27.659,2,12.533,27.289,3,12.470,27.353
3,11.493,38.606,4,10.992,38.650,1,11.062,38.350,2,11.036,38.389
4,9.969,48.574,2,9.720,48.370,1,9.904,48.254,3,10.095,48.483
4,9.489,58.063,1,9.383,57.752,2,9.581,57.834,3,9.515,57.997
4,9.287,1:07.350,1,9.221,1:06.973,2,9.205,1:07.038,3,9.145,1:07.141
4,9.166,1:16.515,1,9.268,1:16.240,2,9.317,1:16.354,3,9.270,1:16.411
4,9.744,1:26.259,3,9.459,1:25.699,2,9.122,1:25.476,1,8.928,1:25.339
3,10.54,1:36.792,2,9.87,1:35.568,1,9.52,1:34.995,4,14.51,1:39.846
