Boris FRANKOVIC POSITION,Boris FRANKOVIC LAP TIME,Boris FRANKOVIC ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Kevin KUWADA POSITION,Kevin KUWADA LAP TIME,Kevin KUWADA ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME,Raivo ANUZIS POSITION,Raivo ANUZIS LAP TIME,Raivo ANUZIS ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
1,9.73,9.73,3,9.90,9.90,4,10.05,10.05,2,9.76,9.76,5,10.20,10.20,6,10.38,10.38
2,15.25,24.98,3,15.14,25.04,4,15.14,25.19,1,15.06,24.82,5,15.09,25.29,6,15.01,25.39
2,14.94,39.92,3,14.92,39.96,4,14.90,40.09,1,14.99,39.81,5,14.94,40.23,6,14.94,40.33
3,14.75,54.67,4,14.90,54.86,5,14.92,55.01,2,14.83,54.64,1,14.27,54.50,6,14.85,55.18
3,12.46,1:07.13,4,12.34,1:07.20,5,12.28,1:07.29,1,12.33,1:06.97,2,12.55,1:07.05,6,12.23,1:07.41
1,10.96,1:18.09,3,11.18,1:18.38,5,11.37,1:18.66,2,11.28,1:18.25,4,11.36,1:18.41,6,11.29,1:18.70
3,10.30,1:28.39,4,10.11,1:28.49,6,10.45,1:29.11,2,10.08,1:28.33,5,10.22,1:28.63,1,9.55,1:28.25
2,9.61,1:38.00,4,9.62,1:38.11,6,10.37,1:39.48,3,9.72,1:38.05,5,9.77,1:38.40,1,9.29,1:37.54
2,9.48,1:47.48,3,9.58,1:47.69,6,10.87,1:50.35,4,9.65,1:47.70,5,9.87,1:48.27,1,9.45,1:46.99
2,9.49,1:56.97,3,9.60,1:57.29,6,11.33,2:01.68,4,9.78,1:57.48,5,10.20,1:58.47,1,9.50,1:56.49
2,9.73,2:06.70,3,9.79,2:07.08,6,11.59,2:13.27,4,9.77,2:07.25,5,10.81,2:09.28,1,9.60,2:06.09
2,9.87,2:16.57,3,9.82,2:16.90,6,11.49,2:24.76,4,9.82,2:17.07,5,11.14,2:20.42,1,9.76,2:15.85
2,10.27,2:26.84,3,10.31,2:27.21,6,12.20,2:36.96,4,10.43,2:27.50,5,11.70,2:32.12,1,10.08,2:25.93
2,10.26,2:37.099,3,10.24,2:37.442,6,12.24,2:49.197,4,10.27,2:37.767,5,11.91,2:44.023,1,10.23,2:36.157
