Anne Floor OTTER POSITION,Anne Floor OTTER LAP TIME,Anne Floor OTTER ELAPSED TIME,Petra JASIC POSITION,Petra JASIC LAP TIME,Petra JASIC ELAPSED TIME,Yana KHAN POSITION,Yana KHAN LAP TIME,Yana KHAN ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,SCHEPERS Nienke POSITION,SCHEPERS Nienke LAP TIME,SCHEPERS Nienke ELAPSED TIME
1,7.73,7.73,3,8.02,8.02,4,8.13,8.13,2,7.94,7.94,5,8.40,8.40
2,9.78,17.51,3,10.04,18.06,4,9.96,18.09,1,9.40,17.34,5,10.00,18.40
2,9.02,26.53,5,9.81,27.87,3,9.23,27.32,1,9.06,26.40,4,9.45,27.85
2,9.10,35.63,5,9.75,37.62,3,9.25,36.57,1,8.98,35.38,4,9.48,37.33
2,9.37,45.00,5,10.04,47.66,3,9.45,46.02,1,9.22,44.60,4,9.74,47.07
