Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME
3,14.54,14.54,2,14.45,14.45,4,14.67,14.67,1,14.33,14.33
3,11.46,26.00,2,11.43,25.88,4,11.49,26.16,1,11.42,25.75
4,11.10,37.10,2,11.13,37.01,2,10.85,37.01,1,11.14,36.89
4,10.34,47.44,3,10.37,47.38,1,10.18,47.19,2,10.37,47.26
4,10.24,57.68,3,10.24,57.62,2,10.30,57.49,1,10.16,57.42
4,9.70,1:07.38,3,9.66,1:07.28,1,9.63,1:07.12,2,9.83,1:07.25
3,9.54,1:16.92,2,9.53,1:16.81,1,9.57,1:16.69,4,9.76,1:17.01
3,9.57,1:26.49,2,9.60,1:26.41,1,9.59,1:26.28,4,9.51,1:26.52
3,9.69,1:36.18,0,,PHOTO,0,,PHOTO,4,9.81,1:36.312
