LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME
5,8.48,8.48,4,8.33,8.33,3,8.20,8.20,2,8.17,8.17,1,8.15,8.15,6,8.59,8.59
5,10.88,19.36,4,10.88,19.21,2,10.83,19.03,3,10.92,19.09,1,10.39,18.54,6,10.94,19.53
5,10.48,29.84,4,10.53,29.74,2,10.54,29.57,3,10.56,29.65,1,10.29,28.83,6,10.45,29.98
5,10.71,40.55,4,10.71,40.45,2,10.67,40.24,3,10.69,40.34,1,10.37,39.20,6,10.68,40.66
6,10.63,51.18,2,10.58,51.03,5,10.87,51.11,3,10.71,51.05,1,10.44,49.64,4,10.43,51.09
6,10.01,1:01.19,3,9.75,1:00.78,5,9.89,1:01.00,4,9.83,1:00.88,1,10.38,1:00.02,2,9.54,1:00.63
6,9.89,1:11.08,3,9.96,1:10.74,5,9.97,1:10.97,4,9.98,1:10.86,1,10.52,1:10.54,2,10.03,1:10.66
2,9.78,1:20.86,4,10.18,1:20.92,6,10.17,1:21.14,1,9.92,1:20.78,3,10.38,1:20.92,5,10.35,1:21.01
1,9.46,1:30.32,3,9.59,1:30.51,5,9.55,1:30.69,2,9.59,1:30.37,4,9.75,1:30.67,6,9.87,1:30.88
2,9.46,1:39.78,3,9.40,1:39.91,4,9.35,1:40.04,1,9.32,1:39.69,5,9.63,1:40.30,6,9.54,1:40.42
2,9.27,1:49.05,3,9.23,1:49.14,4,9.20,1:49.24,1,9.26,1:48.95,5,9.64,1:49.94,6,9.61,1:50.03
3,9.51,1:58.56,2,9.40,1:58.54,4,9.52,1:58.76,1,9.47,1:58.42,6,9.90,1:59.84,5,9.65,1:59.68
3,9.59,2:08.15,1,9.43,2:07.97,4,9.49,2:08.25,2,9.55,2:07.97,6,10.23,2:10.07,5,10.27,2:09.95
5,41.88,2:50.028,2,9.88,2:17.848,0,,PEN,1,9.85,2:17.815,3,10.41,2:20.475,4,10.60,2:20.541
