Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME
1,9.650,53.810,2,9.950,53.840,3,9.660,53.860,4,9.650,53.990
2,9.610,1:03.430,3,9.660,1:03.500,1,9.530,1:03.390,4,11.510,1:05.500
4,9.770,1:13.210,3,9.530,1:13.040,2,9.520,1:12.920,1,7.310,1:12.820
3,9.470,1:22.680,4,9.900,1:22.950,1,9.500,1:22.420,2,9.620,1:22.440
2,9.740,1:32.420,4,10.160,1:33.120,1,9.980,1:32.410,3,10.120,1:32.570
