Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,OH Se-Jong POSITION,OH Se-Jong LAP TIME,OH Se-Jong ELAPSED TIME,Eric BEDARD POSITION,Eric BEDARD LAP TIME,Eric BEDARD ELAPSED TIME
1,12.816,12.816,4,13.226,13.226,3,13.105,13.105,2,12.970,12.970
2,9.835,22.651,1,9.318,22.543,4,9.781,22.886,3,9.797,22.766
1,9.323,31.973,2,9.611,32.153,3,9.327,32.213,4,9.542,32.308
3,9.381,41.353,4,9.374,41.527,1,8.985,41.197,2,9.014,41.321
3,9.420,50.772,4,9.249,50.775,1,9.358,50.554,2,9.379,50.700
4,9.781,1:00.552,3,9.554,1:00.329,1,9.629,1:00.183,2,9.491,1:00.191
4,9.682,1:10.234,3,9.789,1:10.118,1,9.678,1:09.861,2,9.737,1:09.927
4,9.947,1:20.181,3,9.905,1:20.023,1,9.675,1:19.536,2,9.984,1:19.910
4,10.44,1:30.618,3,10.27,1:30.285,1,9.95,1:29.477,2,10.11,1:30.011
