KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Gianluigi NOVER POSITION,Gianluigi NOVER LAP TIME,Gianluigi NOVER ELAPSED TIME
1,7.03,7.03,2,7.09,7.09,3,7.27,7.27,4,7.32,7.32
2,9.23,16.26,1,9.13,16.23,4,9.22,16.50,3,9.12,16.44
2,8.82,25.08,1,8.71,24.94,3,8.76,25.26,4,8.88,25.32
2,8.87,33.96,1,8.84,33.78,3,8.88,34.15,4,8.83,34.16
1,8.95,42.903,4,1:07.71,1:41.486,2,8.99,43.140,3,9.13,43.288
