Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME
3,8.73,8.73,2,8.56,8.56,1,8.40,8.40,4,8.90,8.90,5,9.07,9.07
4,11.74,20.47,2,11.68,20.24,1,11.67,20.07,3,11.49,20.39,5,11.52,20.59
4,10.60,31.07,2,10.64,30.88,1,10.67,30.74,3,10.51,30.90,5,10.49,31.08
5,10.22,41.29,2,10.19,41.07,1,10.21,40.95,3,10.24,41.14,4,10.12,41.20
5,10.05,51.34,2,10.01,51.08,1,10.03,50.98,4,10.02,51.16,3,9.95,51.15
4,9.50,1:00.84,2,9.57,1:00.65,1,9.60,1:00.58,5,9.78,1:00.94,3,9.64,1:00.79
3,9.69,1:10.53,2,9.79,1:10.44,1,9.76,1:10.34,5,9.81,1:10.75,4,9.87,1:10.66
3,9.66,1:20.19,2,9.58,1:20.02,1,9.68,1:20.02,5,9.78,1:20.53,4,9.67,1:20.33
2,9.28,1:29.47,1,9.41,1:29.43,3,9.49,1:29.51,5,9.40,1:29.93,4,9.53,1:29.86
1,8.93,1:38.40,2,9.22,1:38.65,3,9.28,1:38.79,4,9.57,1:39.50,5,9.81,1:39.67
1,8.99,1:47.39,2,8.96,1:47.61,3,9.09,1:47.88,4,9.73,1:49.23,5,10.20,1:49.87
1,9.08,1:56.47,2,9.14,1:56.75,3,9.37,1:57.25,4,10.05,1:59.28,5,10.52,2:00.39
1,9.25,2:05.72,2,9.34,2:06.09,3,9.77,2:07.02,4,10.54,2:09.82,5,10.88,2:11.27
1,9.70,2:15.418,2,9.81,2:15.896,3,10.17,2:17.188,4,11.13,2:20.948,5,10.96,2:22.226
