Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Sebastian HYDZIK POSITION,Sebastian HYDZIK LAP TIME,Sebastian HYDZIK ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
3,12.34,12.34,2,12.25,12.25,5,12.53,12.53,1,12.16,12.16,4,12.38,
5,9.43,21.77,2,9.14,21.39,4,9.15,21.68,1,9.15,21.31,3,9.22,
4,8.75,30.52,1,8.74,30.13,5,9.01,30.69,2,8.97,30.28,3,8.80,
4,8.65,39.17,1,8.72,38.85,5,8.77,39.46,2,8.82,39.10,3,8.71,
3,9.02,48.19,1,8.78,47.63,4,8.96,48.42,5,9.48,48.58,2,8.96,
3,8.82,57.01,1,8.95,56.58,4,9.03,57.45,5,9.10,57.68,2,8.74,
3,8.86,1:05.87,1,8.94,1:05.52,4,9.30,1:06.75,5,9.40,1:07.08,2,8.90,
3,9.16,1:15.03,1,9.13,1:14.65,4,9.64,1:16.39,5,9.84,1:16.92,2,9.16,
3,9.54,1:24.57,1,9.28,1:23.93,4,10.14,1:26.53,5,10.26,1:27.18,2,9.64,
