NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Jonathan SO POSITION,Jonathan SO LAP TIME,Jonathan SO ELAPSED TIME
4,8.38,8.38,5,8.46,8.46,3,8.25,8.25,2,8.15,8.15,6,8.55,8.55,1,8.13,8.13
4,10.60,18.98,5,10.72,19.18,2,10.62,18.87,3,10.77,18.92,6,10.74,19.29,1,10.69,18.82
1,9.69,28.67,5,9.90,29.08,2,9.83,28.70,4,10.02,28.94,6,9.88,29.17,3,10.03,28.85
2,9.91,38.58,5,9.86,38.94,1,9.87,38.57,4,9.87,38.81,6,9.95,39.12,3,9.86,38.71
3,9.85,48.43,5,9.66,48.60,1,9.59,48.16,4,9.70,48.51,6,9.57,48.69,2,9.56,48.27
3,9.66,58.09,4,9.56,58.16,1,9.68,57.84,4,9.65,58.16,6,9.61,58.30,2,9.68,57.95
6,9.49,1:07.58,3,9.21,1:07.37,2,9.36,1:07.20,4,9.37,1:07.53,5,9.25,1:07.55,1,9.24,1:07.19
6,9.37,1:16.95,3,9.14,1:16.51,1,9.12,1:16.32,5,9.18,1:16.71,4,9.07,1:16.62,2,9.21,1:16.40
6,9.35,1:26.30,3,9.23,1:25.74,1,9.25,1:25.57,5,9.24,1:25.95,4,9.22,1:25.84,2,9.26,1:25.66
6,9.60,1:35.90,2,9.11,1:34.85,1,9.23,1:34.80,3,9.00,1:34.95,5,9.28,1:35.12,4,9.30,1:34.96
6,10.03,1:45.93,1,8.96,1:43.81,2,9.13,1:43.93,3,9.05,1:44.00,4,9.07,1:44.19,5,9.36,1:44.32
6,10.54,1:56.47,1,9.12,1:52.93,3,9.23,1:53.16,2,9.05,1:53.05,4,9.24,1:53.43,5,9.50,1:53.82
6,10.60,2:07.07,2,9.28,2:02.21,3,9.17,2:02.33,1,9.09,2:02.14,4,9.50,2:02.93,5,10.24,2:04.06
6,11.06,2:18.13,0,9.38,2:11.59,0,9.28,2:11.61,1,9.25,2:11.39,4,9.90,2:12.83,5,11.13,2:15.19
