Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME
1,6.750,6.750,2,6.900,6.900,0,,
1,9.040,15.790,2,9.010,15.910,0,,
1,8.620,24.410,2,8.650,24.570,0,,
2,9.020,33.440,1,8.780,33.360,0,,
2,9.340,42.780,1,9.360,42.720,0,,
