Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
5,14.23,14.23,3,14.02,14.02,2,13.97,13.97,1,13.86,13.86,4,14.10,14.10
1,10.48,24.71,4,11.07,25.09,3,11.03,25.00,2,11.04,24.90,5,11.09,25.19
1,10.15,34.86,5,10.14,35.23,4,10.10,35.10,2,10.10,35.00,3,9.88,35.07
2,10.11,44.97,5,10.03,45.26,4,10.07,45.17,1,9.88,44.88,3,10.01,45.08
3,9.60,54.57,5,9.54,54.80,2,9.35,54.52,1,9.57,54.45,4,9.63,54.71
5,9.60,1:04.17,4,9.26,1:04.06,1,9.16,1:03.68,3,9.43,1:03.88,2,9.13,1:03.84
5,9.40,1:13.57,3,8.92,1:12.98,1,9.05,1:12.73,4,9.47,1:13.35,2,9.07,1:12.91
5,9.51,1:23.08,3,9.03,1:22.01,1,9.03,1:21.76,4,9.54,1:22.89,2,9.09,1:22.00
5,9.67,1:32.746,2,9.14,1:31.144,1,9.15,1:30.906,4,9.80,1:32.684,3,9.34,1:31.335
