KAZAKHSTAN POSITION,KAZAKHSTAN LAP TIME,KAZAKHSTAN ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME
2,12.86,12.86,1,12.74,12.74,3,12.95,12.95
2,9.36,22.22,1,9.38,22.12,3,9.35,22.30
2,9.29,31.51,1,9.28,31.40,3,9.31,31.61
2,9.29,40.80,1,9.31,40.71,3,9.28,40.89
2,9.29,50.09,1,9.31,50.02,3,9.28,50.17
1,8.90,58.99,2,9.05,59.07,3,9.01,59.18
1,8.59,1:07.58,2,8.64,1:07.71,3,8.62,1:07.80
1,8.63,1:16.21,2,8.59,1:16.30,3,8.64,1:16.44
1,8.63,1:24.84,2,8.65,1:24.95,3,8.65,1:25.09
1,8.65,1:33.49,2,8.65,1:33.60,3,8.60,1:33.69
2,8.96,1:42.45,1,8.79,1:42.39,3,8.84,1:42.53
2,9.10,1:51.55,1,8.92,1:51.31,3,9.09,1:51.62
2,8.81,2:00.36,1,8.94,2:00.25,3,9.13,2:00.75
2,8.89,2:09.25,1,8.94,2:09.19,3,8.94,2:09.69
2,8.61,2:17.86,1,8.59,2:17.78,3,8.46,2:18.15
2,8.42,2:26.28,1,8.39,2:26.17,3,8.21,2:26.36
2,8.43,2:34.71,1,8.40,2:34.57,3,8.46,2:34.82
3,8.80,2:43.51,1,8.24,2:42.81,2,8.23,2:43.05
