Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME
1,8.13,8.13,2,8.26,8.26,3,8.47,8.47,4,8.62,8.62,6,8.91,8.91,5,8.78,8.78
2,11.89,20.02,1,11.71,19.97,3,11.74,20.21,4,11.73,20.35,5,11.51,20.42,6,11.66,20.44
1,11.35,31.37,2,11.41,31.38,3,11.30,31.51,4,11.24,31.59,5,11.28,31.70,6,11.36,31.80
1,11.02,42.39,2,11.14,42.52,3,11.10,42.61,5,11.10,42.69,6,11.09,42.79,4,10.82,42.62
2,10.07,52.46,3,10.03,52.55,4,10.04,52.65,5,10.13,52.82,6,10.14,52.93,1,9.73,52.35
3,9.84,1:02.30,1,9.59,1:02.14,4,9.76,1:02.41,5,9.69,1:02.51,6,9.65,1:02.58,2,9.87,1:02.22
3,9.74,1:12.04,1,9.78,1:11.92,4,9.78,1:12.19,5,9.70,1:12.21,6,9.80,1:12.38,2,9.71,1:11.93
2,9.63,1:21.67,1,9.66,1:21.58,4,9.66,1:21.85,3,9.52,1:21.73,5,9.59,1:21.97,6,22.00,1:33.93
2,9.40,1:31.07,1,9.44,1:31.02,4,9.57,1:31.42,3,9.44,1:31.17,5,9.52,1:31.49,6,14.69,1:48.62
2,9.34,1:40.41,1,9.31,1:40.33,4,9.23,1:40.65,3,9.38,1:40.55,5,9.21,1:40.70,6,12.08,2:00.70
2,9.34,1:49.75,1,9.30,1:49.63,3,9.44,1:50.09,5,9.75,1:50.30,4,9.47,1:50.17,6,10.55,2:11.25
2,9.32,1:59.07,1,9.35,1:58.98,3,9.35,1:59.44,5,10.02,2:00.32,4,9.48,1:59.65,6,11.06,2:22.31
2,9.51,2:08.58,1,9.53,2:08.51,3,9.45,2:08.89,5,10.74,2:11.06,4,9.38,2:09.03,6,11.30,2:33.61
2,9.69,2:18.270,1,9.66,2:18.162,3,9.77,2:18.655,4,12.13,2:23.186,0,,PEN,5,11.56,2:45.170
