HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,KIM Gun Woo POSITION,KIM Gun Woo LAP TIME,KIM Gun Woo ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME
1,6.95,,2,7.02,7.02,3,7.12,7.12,3,7.12,7.12,5,7.34,7.34
1,8.83,,2,8.92,15.94,4,9.12,16.24,3,9.01,16.13,5,9.08,16.42
2,8.30,,1,8.12,24.06,4,8.25,24.49,3,8.23,24.36,5,8.51,24.93
2,8.54,,1,8.42,32.48,4,8.26,32.75,3,8.30,32.66,5,8.71,33.64
3,8.75,,1,8.67,41.15,2,8.51,41.26,4,8.89,41.55,5,8.97,42.61
