Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
4,8.57,8.57,2,8.18,8.18,6,9.03,9.03,3,8.30,8.30,1,8.10,8.10,5,8.78,8.78
4,10.48,19.05,2,10.66,18.84,6,10.68,19.71,3,10.62,18.92,1,10.64,18.74,5,10.42,19.20
4,10.17,29.22,2,10.16,29.00,6,10.16,29.87,3,10.17,29.09,1,10.17,28.91,5,10.14,29.34
4,10.18,39.40,2,10.15,39.15,6,10.41,40.28,3,10.20,39.29,1,10.16,39.07,5,10.23,39.57
4,10.18,49.58,2,10.24,49.39,6,10.40,50.68,3,10.18,49.47,1,10.23,49.30,5,10.11,49.68
4,9.90,59.48,3,9.98,59.37,6,10.55,1:01.23,2,9.84,59.31,1,9.88,59.18,5,9.88,59.56
4,9.51,1:08.99,3,9.46,1:08.83,6,10.77,1:12.00,1,9.33,1:08.64,2,9.52,1:08.70,5,9.55,1:09.11
4,9.59,1:18.58,3,9.65,1:18.48,6,10.97,1:22.97,1,9.62,1:18.26,2,9.62,1:18.32,5,9.51,1:18.62
4,9.51,1:28.09,3,9.41,1:27.89,6,11.22,1:34.19,2,9.57,1:27.83,1,9.43,1:27.75,5,9.58,1:28.20
5,9.42,1:37.51,3,9.48,1:37.37,6,11.93,1:46.12,2,9.48,1:37.31,1,9.40,1:37.15,4,9.25,1:37.45
5,9.88,1:47.39,2,9.53,1:46.90,6,12.17,1:58.29,3,9.61,1:46.92,1,9.62,1:46.77,4,9.63,1:47.08
5,10.11,1:57.50,2,9.27,1:56.17,6,11.26,2:09.55,4,9.36,1:56.28,1,9.29,1:56.06,3,9.15,1:56.23
5,10.87,2:08.37,2,9.71,2:05.88,6,11.76,2:21.31,4,10.05,2:06.33,1,9.81,2:05.87,3,9.79,2:06.02
5,11.44,2:19.807,1,9.71,2:15.589,6,11.81,2:33.111,4,10.07,2:16.395,3,10.25,2:16.118,2,9.78,2:15.800
