KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
3,6.88,6.88,1,6.74,6.74,2,6.84,6.84,4,7.07,7.07
3,8.92,15.80,2,8.93,15.67,1,8.63,15.47,4,8.88,15.95
3,8.37,24.17,2,8.47,24.14,1,8.39,23.86,4,8.39,24.34
2,8.46,32.63,3,8.60,32.74,1,8.48,32.34,4,8.41,32.75
1,8.61,41.235,3,8.89,41.624,4,46.54,1:18.871,2,8.61,41.355
