CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,Anastasiia MIGUNOVA POSITION,Anastasiia MIGUNOVA LAP TIME,Anastasiia MIGUNOVA ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME
1,14.08,14.08,2,14.19,14.19,3,14.30,14.30,4,14.35,14.35
3,10.94,25.02,2,10.81,25.00,4,10.96,25.26,1,10.60,24.95
3,9.97,34.99,2,9.81,34.81,4,9.86,35.12,1,9.85,34.80
3,9.65,44.64,1,9.58,44.39,4,9.62,44.74,2,9.74,44.54
2,9.93,54.57,2,10.18,54.57,4,10.11,54.85,1,9.93,54.47
1,9.45,1:04.02,3,9.80,1:04.37,4,9.71,1:04.56,2,9.79,1:04.26
1,9.52,1:13.54,2,9.71,1:14.08,4,9.77,1:14.33,3,10.02,1:14.28
1,9.75,1:23.29,2,9.77,1:23.85,3,10.15,1:24.48,4,10.41,1:24.69
1,10.10,1:33.39,2,10.31,1:34.16,3,10.44,1:34.92,4,10.70,1:35.39
