WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME
1,9.64,9.64,2,9.78,9.78,3,9.93,9.93,5,10.03,10.03,4,10.00,10.00
2,14.28,23.92,1,14.13,23.91,4,14.24,24.17,5,14.37,24.40,3,14.02,24.02
2,12.00,35.92,3,12.09,36.00,4,12.19,36.36,5,12.06,36.46,1,11.89,35.91
1,12.55,48.47,3,12.64,48.64,4,12.31,48.67,5,12.60,49.06,2,12.66,48.57
1,12.16,1:00.63,2,12.37,1:01.01,4,12.50,1:01.17,5,12.21,1:01.27,3,12.54,1:01.11
1,11.07,1:11.70,3,11.43,1:12.44,4,11.28,1:12.45,5,11.18,1:12.45,2,11.05,1:12.16
1,10.76,1:22.46,2,10.32,1:22.76,5,10.69,1:23.14,4,10.40,1:22.85,3,10.65,1:22.81
1,9.95,1:32.41,3,10.04,1:32.80,4,9.80,1:32.94,2,9.92,1:32.77,5,10.24,1:33.05
1,10.68,1:43.09,3,10.61,1:43.41,4,10.48,1:43.42,2,10.56,1:43.33,5,10.58,1:43.63
1,10.61,1:53.70,4,10.79,1:54.20,3,10.71,1:54.13,2,10.76,1:54.09,5,10.71,1:54.34
1,10.08,2:03.78,3,9.97,2:04.17,4,10.25,2:04.38,2,10.08,2:04.17,5,10.23,2:04.57
1,10.09,2:13.87,3,10.03,2:14.20,4,10.02,2:14.40,2,9.90,2:14.07,5,10.39,2:14.96
1,9.94,2:23.81,2,10.04,2:24.24,4,10.03,2:24.43,3,10.20,2:24.27,5,11.43,2:26.39
2,10.54,2:34.349,1,9.87,2:34.106,4,10.14,2:34.565,3,10.24,2:34.510,5,12.24,2:38.624
