Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Nikolay FEDORENKO POSITION,Nikolay FEDORENKO LAP TIME,Nikolay FEDORENKO ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Lauge Hye LANGKJER POSITION,Lauge Hye LANGKJER LAP TIME,Lauge Hye LANGKJER ELAPSED TIME
1,7.189,7.189,2,7.285,7.285,3,7.387,7.387,4,7.682,7.682
2,9.367,16.555,3,9.520,16.804,1,8.786,16.173,4,10.298,17.980
2,9.146,25.701,3,9.153,25.956,1,8.938,25.110,4,10.137,28.116
2,9.245,34.945,3,9.489,35.445,1,9.315,34.424,4,10.123,38.239
2,9.56,44.501,3,9.66,45.101,1,9.56,43.975,4,10.58,48.810
