Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Aslan DAUMOV POSITION,Aslan DAUMOV LAP TIME,Aslan DAUMOV ELAPSED TIME
1,12.70,12.70,3,12.95,12.95,2,12.81,12.81,4,13.09,13.09,5,13.33,13.33
1,9.99,22.69,3,9.94,22.89,2,10.02,22.83,4,9.86,22.95,5,9.74,23.07
1,10.04,32.73,3,10.05,32.94,2,9.94,32.77,4,10.09,33.04,5,10.03,33.10
1,10.11,42.84,3,10.06,43.00,2,10.07,42.84,4,10.04,43.08,5,10.10,43.20
3,9.67,52.51,4,9.54,52.54,1,9.46,52.30,2,9.33,52.41,5,9.59,52.79
3,9.22,1:01.73,4,9.25,1:01.79,1,9.19,1:01.49,2,9.18,1:01.59,5,9.39,1:02.18
3,9.15,1:10.88,4,9.19,1:10.98,1,8.97,1:10.46,2,8.97,1:10.56,5,9.94,1:12.12
3,9.23,1:20.11,4,9.26,1:20.24,1,8.97,1:19.43,2,9.05,1:19.61,5,10.58,1:22.70
3,9.56,1:29.664,4,9.70,1:29.933,1,9.08,1:28.505,2,9.43,1:29.039,5,10.73,1:33.426
