Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,YIN Qi POSITION,YIN Qi LAP TIME,YIN Qi ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME
5,9.84,9.84,3,9.75,9.75,4,9.81,9.81,2,9.70,9.70,1,9.67,9.67,6,9.92,9.92,7,10.07,10.07
3,13.13,22.97,6,13.46,23.21,5,13.29,23.10,4,13.38,23.08,1,13.21,22.88,7,13.34,23.26,2,12.86,22.93
6,11.65,34.62,1,11.03,34.24,3,11.31,34.41,7,11.67,34.75,5,11.64,34.52,4,11.21,34.47,2,11.41,34.34
6,10.82,45.44,2,10.86,45.10,4,10.78,45.19,7,10.82,45.57,5,10.79,45.31,1,10.51,44.98,2,10.76,45.10
6,10.36,55.80,3,10.50,55.60,5,10.51,55.70,7,10.42,55.99,4,10.38,55.69,1,10.41,55.39,2,10.39,55.49
2,9.87,1:05.67,5,10.29,1:05.89,6,10.28,1:05.98,7,10.06,1:06.05,1,9.89,1:05.58,2,10.28,1:05.67,4,10.29,1:05.78
3,9.81,1:15.48,5,9.76,1:15.65,6,9.77,1:15.75,7,9.80,1:15.85,1,9.76,1:15.34,2,9.79,1:15.46,4,9.73,1:15.51
4,10.11,1:25.59,5,9.95,1:25.60,6,9.94,1:25.69,7,9.98,1:25.83,2,9.98,1:25.32,3,10.02,1:25.48,1,9.70,1:25.21
5,9.83,1:35.42,7,9.99,1:35.59,4,9.64,1:35.33,6,9.67,1:35.50,1,9.76,1:35.08,3,9.78,1:35.26,2,9.95,1:35.16
5,10.44,1:45.86,7,10.49,1:46.08,4,10.41,1:45.74,6,10.44,1:45.94,1,10.31,1:45.39,3,10.36,1:45.62,2,10.32,1:45.48
5,10.07,1:55.93,7,10.08,1:56.16,4,10.05,1:55.79,6,10.10,1:56.04,1,10.05,1:55.44,3,10.06,1:55.68,2,10.08,1:55.56
5,9.66,2:05.59,7,9.68,2:05.84,4,9.71,2:05.50,6,9.68,2:05.72,1,9.71,2:05.15,3,9.70,2:05.38,2,9.71,2:05.27
4,9.53,2:15.12,7,9.59,2:15.43,5,9.66,2:15.16,6,9.69,2:15.41,1,9.64,2:14.79,3,9.63,2:15.01,2,9.66,2:14.93
2,9.66,2:24.767,6,10.57,2:25.970,4,9.99,2:25.130,5,9.83,2:25.219,1,9.72,2:24.492,3,9.85,2:24.843,7,27.33,2:42.174
