KIM Ye Jin POSITION,KIM Ye Jin LAP TIME,KIM Ye Jin ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME
2,13.46,13.46,1,13.31,13.31,5,13.79,13.79,3,13.56,13.56,4,13.68,13.68
2,10.65,24.11,1,10.64,23.95,5,10.55,24.34,3,10.64,24.20,4,10.64,24.32
3,10.11,34.22,1,10.07,34.02,5,10.12,34.46,2,9.91,34.11,4,9.96,34.28
3,9.65,43.87,4,9.89,43.91,5,9.59,44.05,1,9.73,43.84,2,9.58,43.86
2,10.07,53.94,3,10.11,54.02,3,9.97,54.02,5,10.27,54.11,1,9.98,53.84
3,10.11,1:04.05,5,10.30,1:04.32,2,10.00,1:04.02,4,10.15,1:04.26,1,10.17,1:04.01
2,9.83,1:13.88,5,9.90,1:14.22,1,9.84,1:13.86,4,9.85,1:14.11,3,9.94,1:13.95
1,9.54,1:23.42,5,9.77,1:23.99,2,9.91,1:23.77,4,9.78,1:23.89,3,9.87,1:23.82
1,10.04,1:33.46,4,9.88,1:33.864,2,9.94,1:33.71,5,10.18,1:34.068,3,9.99,1:33.802
