Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME
2,7.19,7.19,1,7.07,7.07,4,11.88,11.88,3,7.55,7.55
3,9.32,16.51,2,9.30,16.38,1,4.47,16.35,4,9.40,16.96
3,8.85,25.36,2,8.96,25.34,1,8.83,25.19,4,8.81,25.78
1,9.33,34.70,4,9.66,35.00,2,9.54,34.73,3,8.98,34.76
0,,DQ,3,9.34,44.333,1,9.41,44.136,2,9.52,44.273
