Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,OM Chol POSITION,OM Chol LAP TIME,OM Chol ELAPSED TIME
2,12.65,12.65,5,13.66,13.66,3,12.77,12.77,1,12.46,12.46,4,12.99,12.99
2,9.77,22.42,5,9.17,22.83,3,9.76,22.53,1,9.81,22.27,4,9.64,22.63
3,9.65,32.07,1,8.96,31.79,4,9.62,32.15,2,9.64,31.91,5,9.67,32.30
3,9.31,41.38,1,9.34,41.13,4,9.32,41.47,2,9.32,41.23,5,9.30,41.60
3,9.21,50.59,2,9.33,50.46,4,9.24,50.71,1,9.15,50.38,5,9.32,50.92
3,9.13,59.72,2,9.14,59.60,4,9.13,59.84,1,9.06,59.44,5,9.29,1:00.21
3,9.19,1:08.91,2,9.10,1:08.70,4,9.15,1:08.99,1,9.22,1:08.66,5,9.70,1:09.91
3,9.09,1:18.00,2,9.28,1:17.98,4,9.13,1:18.12,1,9.17,1:17.83,5,10.24,1:20.15
3,10.49,1:28.488,0,,PEN,2,9.14,1:27.259,1,9.27,1:27.099,4,10.61,1:30.755
