Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
2,12.84,12.84,4,13.01,,3,12.92,12.92,1,12.63,12.63,5,13.10,13.10
1,9.71,22.55,4,9.84,,3,9.80,22.72,2,9.94,22.57,5,9.93,23.03
1,9.35,31.90,3,9.26,,2,9.27,31.99,5,9.83,32.40,4,9.16,32.19
1,9.39,41.29,3,9.33,,1,9.30,41.29,5,16.31,48.71,4,9.41,41.60
2,9.11,50.40,3,9.04,,1,9.02,50.31,5,10.87,59.58,4,8.96,50.56
2,9.05,59.45,3,9.07,,1,9.04,59.35,5,9.76,1:09.34,4,9.08,59.64
2,8.99,1:08.44,3,8.98,,1,8.89,1:08.24,5,9.90,1:19.24,4,8.94,1:08.58
2,8.82,1:17.26,3,9.00,,1,8.94,1:17.18,5,10.48,1:29.72,4,9.07,1:17.65
2,9.06,1:26.32,4,9.16,,1,9.04,1:26.22,5,11.10,1:40.82,3,8.97,1:26.62
