Marielle LOOTSMA POSITION,Marielle LOOTSMA LAP TIME,Marielle LOOTSMA ELAPSED TIME,Mariann NAGY POSITION,Mariann NAGY LAP TIME,Mariann NAGY ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME
4,7.853,7.853,2,7.557,7.557,1,7.275,7.275,3,7.662,7.662
4,10.207,18.060,3,10.228,17.784,1,10.057,17.331,2,9.704,17.365
3,9.575,27.634,4,9.966,27.750,1,9.370,26.701,2,9.421,26.786
3,9.747,37.380,4,10.075,37.825,2,9.671,36.372,1,9.578,36.364
3,10.01,47.386,4,10.31,48.129,1,9.82,46.191,2,9.95,46.314
