Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME
2,6.83,6.83,1,6.73,6.73,3,6.98,6.98,4,7.51,7.51
2,9.17,16.00,1,9.23,15.96,3,9.15,16.13,4,9.44,16.95
1,8.83,24.83,2,9.02,24.98,3,8.95,25.08,4,9.18,26.13
1,8.86,33.69,3,9.13,34.11,2,8.88,33.96,4,9.32,35.45
1,9.18,42.866,3,9.49,43.600,2,9.18,43.134,4,9.81,45.256
