Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME,Sherry STUTHRIDGE POSITION,Sherry STUTHRIDGE LAP TIME,Sherry STUTHRIDGE ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
1,7.15,7.15,4,8.23,8.23,3,7.60,7.60,2,7.49,7.49
1,9.85,17.00,4,10.99,19.22,3,9.83,17.43,2,9.66,17.15
2,9.72,26.72,4,11.11,30.33,3,9.52,26.95,1,9.54,26.69
1,9.53,36.25,4,11.34,41.67,3,9.59,36.54,2,9.62,36.31
2,9.91,46.156,4,11.80,53.470,3,9.72,46.255,1,9.74,46.049
