LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
2,7.77,7.77,4,8.01,8.01,3,7.87,7.87,5,8.24,8.24,1,7.26,7.26
3,9.86,17.63,4,10.07,18.08,2,9.75,17.62,5,9.98,18.22,1,9.20,16.46
3,9.46,27.09,4,9.70,27.78,2,9.33,26.95,5,9.68,27.90,1,8.83,25.29
3,9.22,36.31,4,9.98,37.76,2,9.18,36.13,5,9.98,37.88,1,9.06,34.35
3,9.47,45.78,4,10.22,47.98,2,9.49,45.62,5,10.21,48.09,1,9.27,43.62
