Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME
1,13.80,13.80,2,13.89,13.89,3,14.01,14.01,4,14.03,14.03
2,10.24,24.04,1,10.02,23.91,4,10.30,24.31,3,10.13,24.16
2,9.98,34.02,1,9.99,33.90,4,9.84,34.15,3,9.96,34.12
1,9.63,43.65,2,9.85,43.75,3,9.90,44.05,4,10.43,44.55
1,9.34,52.99,2,9.34,53.09,3,9.26,53.31,4,9.38,53.93
1,9.07,1:02.06,2,9.10,1:02.19,3,9.28,1:02.59,4,9.35,1:03.28
1,9.00,1:11.06,2,9.09,1:11.28,3,9.49,1:12.08,4,9.65,1:12.93
1,9.11,1:20.17,2,9.28,1:20.56,3,9.84,1:21.92,4,10.07,1:23.00
1,9.36,1:29.523,2,9.83,1:30.390,0,,PEN,3,10.55,1:33.549
