GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME,UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME
1,12.14,12.14,4,13.02,13.02,3,12.51,12.51,2,12.37,12.37
2,9.40,21.54,1,8.42,21.44,4,9.34,21.85,3,9.34,21.71
2,9.05,30.59,1,9.04,30.48,4,9.06,30.91,3,9.02,30.73
2,9.07,39.66,1,8.98,39.46,4,9.01,39.92,3,9.03,39.76
2,9.06,48.72,1,9.15,48.61,4,9.12,49.04,3,9.11,48.87
2,8.99,57.71,1,8.90,57.51,4,9.09,58.13,3,9.06,57.93
1,8.67,1:06.38,2,9.11,1:06.62,4,8.92,1:07.05,3,8.92,1:06.85
1,9.32,1:15.70,2,9.22,1:15.84,4,9.06,1:16.11,3,9.14,1:15.99
1,8.95,1:24.65,2,8.93,1:24.77,4,8.94,1:25.05,3,8.95,1:24.94
1,8.93,1:33.58,2,8.90,1:33.67,4,8.95,1:34.00,3,8.95,1:33.89
1,8.98,1:42.56,2,9.02,1:42.69,4,8.98,1:42.98,3,8.92,1:42.81
3,9.44,1:52.00,2,9.27,1:51.96,4,9.07,1:52.05,1,9.05,1:51.86
1,8.56,2:00.56,3,9.15,2:01.11,4,9.22,2:01.27,2,9.10,2:00.96
1,9.30,2:09.86,4,9.32,2:10.43,3,8.99,2:10.26,2,9.15,2:10.11
1,8.87,2:18.73,4,8.85,2:19.28,3,8.80,2:19.06,2,8.83,2:18.94
1,9.02,2:27.75,4,8.87,2:28.15,3,8.88,2:27.94,2,8.91,2:27.85
1,9.03,2:36.78,4,9.01,2:37.16,3,9.08,2:37.02,2,9.03,2:36.88
1,9.09,2:45.87,4,9.08,2:46.24,3,9.09,2:46.11,2,9.11,2:45.99
1,8.69,2:54.56,4,9.14,2:55.38,3,8.99,2:55.10,2,9.00,2:54.99
1,9.08,3:03.64,4,9.01,3:04.39,3,8.86,3:03.96,2,8.87,3:03.86
1,8.72,3:12.36,4,8.94,3:13.33,3,8.68,3:12.64,2,8.71,3:12.57
1,8.89,3:21.25,4,9.61,3:22.94,3,8.88,3:21.52,2,8.88,3:21.45
1,8.96,3:30.21,4,8.31,3:31.25,3,8.96,3:30.48,2,8.89,3:30.34
1,8.94,3:39.15,4,8.96,3:40.21,3,8.94,3:39.42,2,8.92,3:39.26
1,8.57,3:47.72,4,9.12,3:49.33,3,8.91,3:48.33,2,8.92,3:48.18
1,9.26,3:56.98,4,9.13,3:58.46,3,8.88,3:57.21,2,8.91,3:57.09
1,8.93,4:05.91,4,9.06,4:07.52,3,8.93,4:06.14,2,8.93,4:06.02
2,9.27,4:15.18,4,8.98,4:16.50,1,9.00,4:15.14,3,9.24,4:15.26
2,9.09,4:24.27,4,10.17,4:26.67,1,8.98,4:24.12,3,9.22,4:24.48
2,8.71,4:32.98,4,8.25,4:34.92,1,8.84,4:32.96,3,8.67,4:33.15
3,9.06,4:42.04,4,10.20,4:45.12,1,8.81,4:41.77,2,8.76,4:41.91
3,8.81,4:50.85,4,8.30,4:53.42,1,8.67,4:50.44,2,8.80,4:50.71
3,8.61,4:59.46,4,9.24,5:02.66,1,8.56,4:59.00,2,8.65,4:59.36
3,9.04,5:08.50,4,9.21,5:11.87,1,8.81,5:07.81,2,8.98,5:08.34
3,8.93,5:17.43,4,9.64,5:21.51,1,8.92,5:16.73,2,8.89,5:17.23
3,8.53,5:25.96,4,10.17,5:31.68,1,8.93,5:25.66,2,8.61,5:25.84
3,8.78,5:34.74,4,8.78,5:40.46,1,8.73,5:34.39,2,8.64,5:34.48
3,8.73,5:43.47,4,9.60,5:50.06,1,8.55,5:42.94,2,8.71,5:43.19
3,8.61,5:52.08,4,9.61,5:59.67,1,8.52,5:51.46,2,8.79,5:51.98
3,9.00,6:01.08,4,9.71,6:09.38,1,9.04,6:00.50,2,8.96,6:00.94
3,8.86,6:09.94,4,9.73,6:19.11,1,9.08,6:09.58,2,8.76,6:09.70
3,8.82,6:18.76,4,9.38,6:28.49,1,8.85,6:18.43,2,8.91,6:18.61
3,8.81,6:27.57,4,9.56,6:38.05,1,8.94,6:27.37,2,8.86,6:27.47
3,8.70,6:36.27,4,9.47,6:47.52,1,8.51,6:35.88,2,8.75,6:36.22
2,8.69,6:44.959,4,9.58,6:57.096,1,8.86,6:44.737,3,8.99,6:45.205
