Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
2,13.17,13.17,5,13.52,13.52,3,13.25,13.25,1,13.02,13.02,4,13.38,13.38
2,10.75,23.92,5,10.75,24.27,3,10.78,24.03,1,10.81,23.83,4,10.74,24.12
2,11.76,35.68,5,11.76,36.03,3,11.77,35.80,1,11.69,35.52,4,11.77,35.89
1,8.89,44.57,5,8.83,44.86,3,8.92,44.72,2,9.11,44.63,4,8.93,44.82
1,9.79,54.36,4,9.79,54.65,2,9.73,54.45,3,9.91,54.54,5,9.91,54.73
1,9.75,1:04.11,5,9.92,1:04.57,2,9.78,1:04.23,3,9.84,1:04.38,4,9.74,1:04.47
1,9.61,1:13.72,5,9.83,1:14.40,2,9.60,1:13.83,4,9.86,1:14.24,3,9.61,1:14.08
1,9.72,1:23.44,4,9.99,1:24.39,2,9.70,1:23.53,5,10.21,1:24.45,3,9.55,1:23.63
1,9.97,1:33.401,4,10.41,1:34.794,2,9.93,1:33.454,5,11.13,1:35.572,3,9.91,1:33.531
