Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME
4,14.47,14.47,3,14.42,14.42,1,14.16,14.16,2,14.30,14.30
3,10.94,25.41,4,11.09,25.51,1,11.02,25.18,2,10.99,25.29
3,10.50,35.91,4,10.50,36.01,2,10.65,35.83,1,10.43,35.72
1,10.15,46.06,4,10.29,46.30,2,10.32,46.15,3,10.49,46.21
1,9.83,55.89,4,9.90,56.20,2,9.88,56.03,3,9.90,56.11
3,9.92,1:05.81,4,9.67,1:05.87,2,9.75,1:05.78,1,9.65,1:05.76
4,10.02,1:15.83,2,9.34,1:15.21,3,9.76,1:15.54,1,9.34,1:15.10
4,9.88,1:25.71,2,9.55,1:24.76,3,9.94,1:25.48,1,9.57,1:24.67
4,9.81,1:35.517,2,9.72,1:34.475,3,9.96,1:35.432,1,9.64,1:34.302
