Marcel PLEIJSTER POSITION,Marcel PLEIJSTER LAP TIME,Marcel PLEIJSTER ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Ganbat JARGALANCHULUUN POSITION,Ganbat JARGALANCHULUUN LAP TIME,Ganbat JARGALANCHULUUN ELAPSED TIME
2,7.130,7.130,4,7.632,7.632,1,7.085,7.085,3,7.266,7.266,5,7.904,7.904
3,9.994,17.123,4,9.654,17.285,2,9.549,16.634,1,9.114,16.380,5,10.566,18.470
3,9.121,26.244,4,9.035,26.320,2,9.251,25.884,1,9.141,25.520,5,10.054,28.523
4,9.814,36.058,3,9.487,35.806,2,9.743,35.627,1,9.634,35.153,5,10.575,39.098
3,9.77,45.824,2,9.57,45.368,4,10.79,46.409,1,10.06,45.207,5,11.14,50.231
