Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
3,13.78,13.78,2,13.70,13.70,5,13.89,13.89,1,13.58,,4,13.81,13.81
3,10.40,24.18,2,10.39,24.09,5,10.52,24.41,1,10.37,,4,10.48,24.29
3,10.30,34.48,2,10.29,34.38,5,10.29,34.70,1,10.32,,4,10.31,34.60
3,9.76,44.24,1,9.70,44.08,5,9.72,44.42,2,9.85,,4,9.73,44.33
3,9.07,53.31,1,9.10,53.18,5,9.12,53.54,2,9.13,,4,9.11,53.44
4,11.75,1:05.06,1,9.28,1:02.46,3,9.18,1:02.72,5,12.51,,2,9.14,1:02.58
5,13.47,1:18.53,1,9.33,1:11.79,3,9.31,1:12.03,4,12.76,,2,9.31,1:11.89
5,13.60,1:32.13,1,9.34,1:21.13,3,9.28,1:21.31,4,13.34,,2,9.33,1:21.22
5,11.48,1:43.61,1,9.29,1:30.42,3,9.28,1:30.577,4,11.49,,2,9.25,1:30.47
