Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME
1,9.19,9.19,2,9.25,9.25,3,9.33,9.33,4,9.35,9.35,6,9.67,9.67,7,9.79,9.79,5,9.53,9.53
3,10.82,20.01,2,10.71,19.96,1,9.82,19.15,4,10.75,20.10,6,10.52,20.19,7,10.59,20.38,5,10.62,20.15
3,10.28,30.29,2,10.30,30.26,1,9.31,28.46,6,10.33,30.43,4,10.15,30.34,7,10.18,30.56,5,10.25,30.40
4,10.86,41.15,2,10.84,41.10,1,9.69,38.15,5,10.80,41.23,3,10.76,41.10,7,10.86,41.42,6,10.86,41.26
5,10.42,51.57,4,10.40,51.50,1,9.66,47.81,2,10.18,51.41,3,10.38,51.48,7,10.40,51.82,6,10.45,51.71
2,9.89,1:01.46,5,10.25,1:01.75,1,9.57,57.38,3,10.14,1:01.55,4,10.18,1:01.66,7,10.10,1:01.92,6,10.11,1:01.82
3,10.19,1:11.65,5,10.10,1:11.85,1,9.64,1:07.02,4,10.20,1:11.75,2,9.85,1:11.51,7,10.13,1:12.05,6,10.11,1:11.93
3,9.84,1:21.49,5,9.92,1:21.77,1,9.67,1:16.69,4,9.91,1:21.66,2,9.94,1:21.45,7,9.88,1:21.93,6,9.89,1:21.82
2,9.48,1:30.97,4,9.40,1:31.17,1,9.88,1:26.57,5,9.53,1:31.19,3,9.62,1:31.07,7,9.50,1:31.43,6,9.38,1:31.20
2,9.27,1:40.24,4,9.30,1:40.47,1,10.16,1:36.73,5,9.40,1:40.59,3,9.28,1:40.35,7,9.38,1:40.81,6,9.51,1:40.71
2,9.16,1:49.40,4,9.10,1:49.57,1,10.26,1:46.99,5,9.05,1:49.64,3,9.08,1:49.43,7,8.97,1:49.78,6,8.99,1:49.70
7,10.15,1:59.55,2,9.20,1:58.77,1,10.52,1:57.51,3,9.13,1:58.77,6,9.86,1:59.29,5,9.09,1:58.87,4,9.09,1:58.79
7,9.86,2:09.41,4,9.21,2:07.98,5,10.58,2:08.09,3,9.19,2:07.96,6,9.35,2:08.64,2,9.06,2:07.93,1,9.04,2:07.83
6,10.09,2:19.496,4,9.58,2:17.558,5,11.09,2:19.180,3,9.50,2:17.457,0,,PEN,2,9.25,2:17.172,1,9.32,2:17.144
