de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME
1,9.66,9.66,3,9.93,9.93,5,10.17,10.17,4,10.01,10.01,2,9.83,9.83
1,13.09,22.75,3,13.03,22.96,5,13.10,23.27,4,13.08,23.09,2,13.02,22.85
2,13.51,36.26,3,13.38,36.34,5,13.40,36.67,4,13.39,36.48,1,13.26,36.11
3,13.43,49.69,2,13.22,49.56,5,13.38,50.05,4,13.31,49.79,1,13.35,49.46
3,13.73,1:03.42,2,13.76,1:03.32,5,13.64,1:03.69,4,13.76,1:03.55,1,13.77,1:03.23
2,13.67,1:17.09,3,13.79,1:17.11,5,13.75,1:17.44,4,13.68,1:17.23,1,13.80,1:17.03
2,11.39,1:28.48,3,11.37,1:28.48,5,11.32,1:28.76,4,11.38,1:28.61,1,11.36,1:28.39
3,10.55,1:39.03,2,10.45,1:38.93,5,10.49,1:39.25,4,10.54,1:39.15,1,10.47,1:38.86
3,10.49,1:49.52,2,10.49,1:49.42,5,10.57,1:49.82,4,10.52,1:49.67,1,10.46,1:49.32
3,10.23,1:59.75,2,10.19,1:59.61,5,10.25,2:00.07,4,10.26,1:59.93,1,10.23,1:59.55
3,9.68,2:09.43,2,9.72,2:09.33,4,9.45,2:09.52,5,9.95,2:09.88,1,9.70,2:09.25
4,9.72,2:19.15,1,9.45,2:18.78,3,9.40,2:18.92,5,10.10,2:19.98,2,9.62,2:18.87
4,9.82,2:28.97,2,9.61,2:28.39,1,9.33,2:28.25,5,10.46,2:30.44,3,9.61,2:28.48
4,10.34,2:39.302,3,9.78,2:38.169,1,9.54,2:37.790,5,10.81,2:41.242,2,9.60,2:38.073
