Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
2,13.40,13.40,1,13.30,13.30,4,13.58,13.58,3,13.50,13.50
3,10.28,23.68,1,10.27,23.57,2,10.09,23.67,4,10.33,23.83
4,9.59,33.27,2,9.47,33.04,1,9.28,32.95,3,9.31,33.14
4,9.47,42.74,1,9.51,42.55,3,9.66,42.61,2,9.43,42.57
4,9.35,52.09,2,9.35,51.90,1,9.24,51.85,3,9.41,51.98
4,9.45,1:01.54,2,9.45,1:01.35,1,9.37,1:01.22,3,9.45,1:01.43
3,9.37,1:10.91,4,9.63,1:10.98,1,9.55,1:10.77,2,9.44,1:10.87
3,9.81,1:20.72,4,9.76,1:20.74,1,9.81,1:20.58,2,9.72,1:20.59
3,9.64,1:30.358,4,9.84,1:30.578,2,9.76,1:30.334,1,9.42,1:30.007
