Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME
1,6.78,6.78,2,6.92,6.92,3,7.09,7.09,4,7.33,7.33
1,8.74,15.52,2,8.75,15.67,3,8.71,15.80,4,8.89,16.22
3,8.52,24.04,1,8.24,23.91,2,8.21,24.01,4,8.49,24.71
3,8.65,32.69,1,8.49,32.40,2,8.49,32.50,4,8.63,33.34
3,8.86,41.523,2,,41.215,0,,PHOTO,4,8.89,42.218
