SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME
3,13.01,13.01,5,13.19,13.19,2,12.89,12.89,4,13.14,13.14,1,12.67,12.67
3,9.44,22.45,5,9.42,22.61,2,9.47,22.36,4,9.40,22.54,1,9.56,22.23
3,9.46,31.91,4,9.34,31.95,2,9.44,31.80,5,9.44,31.98,1,9.49,31.72
2,9.32,41.23,5,9.63,41.58,1,9.22,41.02,4,9.37,41.35,3,9.59,41.31
2,9.39,50.62,5,9.81,51.39,1,9.47,50.49,3,9.35,50.70,4,9.52,50.83
2,9.31,59.93,5,10.35,1:01.74,1,9.29,59.78,3,9.32,1:00.02,4,9.41,1:00.24
1,9.08,1:09.01,5,11.06,1:12.80,2,9.27,1:09.05,3,9.17,1:09.19,4,9.71,1:09.95
1,9.10,1:18.11,5,11.47,1:24.27,2,9.28,1:18.33,3,9.27,1:18.46,4,10.18,1:20.13
1,9.32,1:27.43,5,11.95,1:36.22,0,9.28,1:27.61,0,9.14,1:27.60,4,10.98,1:31.11
