PARK In Wook POSITION,PARK In Wook LAP TIME,PARK In Wook ELAPSED TIME,Daniil KRASNOKUTSKII POSITION,Daniil KRASNOKUTSKII LAP TIME,Daniil KRASNOKUTSKII ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME
6,10.07,10.07,2,9.43,9.43,3,9.56,9.56,1,9.33,9.33,5,9.89,9.89,4,9.77,9.77,7,10.19,10.19,8,10.35,10.35
6,12.81,22.88,2,12.92,22.35,3,12.91,22.47,1,12.92,22.25,5,12.81,22.70,4,12.83,22.60,8,12.82,23.01,6,12.53,22.88
7,11.69,34.57,2,11.95,34.30,6,11.99,34.46,1,11.95,34.20,5,11.69,34.39,4,11.76,34.36,8,11.68,34.69,2,11.42,34.30
7,10.91,45.48,5,10.88,45.18,6,10.85,45.31,3,10.85,45.05,1,10.40,44.79,4,10.77,45.13,8,10.93,45.62,2,10.61,44.91
7,9.98,55.46,5,10.01,55.19,6,10.00,55.31,1,9.68,54.73,2,10.02,54.81,4,9.90,55.03,8,9.96,55.58,3,10.03,54.94
7,9.65,1:05.11,6,9.82,1:05.01,4,9.48,1:04.79,2,9.94,1:04.67,1,9.70,1:04.51,5,9.84,1:04.87,8,9.64,1:05.22,3,9.83,1:04.77
7,9.27,1:14.38,6,9.23,1:14.24,5,9.36,1:14.15,1,9.20,1:13.87,2,9.37,1:13.88,4,9.26,1:14.13,8,9.27,1:14.49,3,9.26,1:14.03
6,9.19,1:23.57,5,9.22,1:23.46,8,9.57,1:23.72,1,9.34,1:23.21,1,9.33,1:23.21,3,9.15,1:23.28,7,9.17,1:23.66,4,9.27,1:23.30
6,9.46,1:33.03,5,9.42,1:32.88,8,9.56,1:33.28,2,9.35,1:32.56,1,9.27,1:32.48,3,9.39,1:32.67,7,9.51,1:33.17,4,9.54,1:32.84
6,9.13,1:42.16,4,9.01,1:41.89,8,9.14,1:42.42,2,9.16,1:41.72,1,9.13,1:41.61,3,9.21,1:41.88,7,9.12,1:42.29,5,9.30,1:42.14
2,8.54,1:50.70,5,9.23,1:51.12,8,9.05,1:51.47,1,8.85,1:50.57,2,9.09,1:50.70,4,9.13,1:51.01,7,9.01,1:51.30,6,9.02,1:51.16
1,8.74,1:59.44,8,10.68,2:01.80,7,9.52,2:00.99,2,9.10,1:59.67,3,9.12,1:59.82,4,9.12,2:00.13,6,9.19,2:00.49,5,9.12,2:00.28
1,8.88,2:08.32,8,11.11,2:12.91,7,9.42,2:10.41,2,9.30,2:08.97,3,9.21,2:09.03,4,9.39,2:09.52,6,9.20,2:09.69,5,9.31,2:09.59
1,9.26,2:17.58,8,11.70,2:24.610,7,9.94,2:20.350,2,9.54,2:18.51,3,9.52,2:18.55,4,9.52,2:19.04,0,9.46,2:19.15,6,9.57,2:19.165
