Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME,Joanie GERVAIS POSITION,Joanie GERVAIS LAP TIME,Joanie GERVAIS ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
1,10.14,10.14,2,10.29,10.29,5,10.43,10.43,3,10.35,10.35,4,10.40,10.40
1,16.13,26.27,2,16.23,26.52,3,16.23,26.66,5,16.57,26.92,4,16.39,26.79
1,15.76,42.03,3,15.80,42.32,4,15.81,42.47,5,15.67,42.59,2,15.33,42.12
2,15.18,57.21,1,14.88,57.20,4,15.07,57.54,5,15.10,57.69,3,15.24,57.36
3,13.03,1:10.24,2,12.90,1:10.10,5,12.78,1:10.32,4,12.57,1:10.26,1,12.64,1:10.00
5,12.26,1:22.50,1,12.15,1:22.25,4,12.07,1:22.39,2,12.07,1:22.33,3,12.39,1:22.39
5,11.02,1:33.52,1,10.86,1:33.11,2,10.84,1:33.23,3,10.99,1:33.32,4,11.01,1:33.40
5,10.49,1:44.01,1,10.61,1:43.72,4,10.72,1:43.95,3,10.52,1:43.84,2,10.38,1:43.78
5,10.55,1:54.56,1,10.30,1:54.02,4,10.48,1:54.43,2,10.28,1:54.12,3,10.42,1:54.20
5,9.86,2:04.42,1,10.04,2:04.06,4,9.96,2:04.39,2,10.00,2:04.12,3,9.97,2:04.17
4,9.67,2:14.09,1,9.74,2:13.80,5,10.09,2:14.48,2,9.73,2:13.85,3,9.76,2:13.93
4,9.64,2:23.73,2,9.74,2:23.54,5,10.21,2:24.69,1,9.57,2:23.42,3,9.62,2:23.55
4,9.65,2:33.38,3,9.65,2:33.19,5,10.66,2:35.35,1,9.39,2:32.81,2,9.52,2:33.07
4,10.10,2:43.474,3,9.67,2:42.858,5,11.24,2:46.585,1,9.71,2:42.514,2,9.66,2:42.727
