CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME
1,12.63,12.63,4,13.45,13.45,2,12.76,,3,13.00,13.00
1,9.94,22.57,4,9.44,22.89,2,9.93,,3,9.78,22.78
1,9.54,32.11,4,9.64,32.53,2,9.52,,3,9.55,32.33
1,9.34,41.45,4,9.19,41.72,2,9.30,,3,9.34,41.67
1,9.58,51.03,4,9.64,51.36,2,9.65,,3,9.61,51.28
1,9.70,1:00.73,4,9.75,1:01.11,2,9.70,,3,9.70,1:00.98
1,9.53,1:10.26,4,9.54,1:10.65,2,9.53,,3,9.56,1:10.54
1,9.70,1:19.96,4,9.57,1:20.22,2,9.68,,3,9.61,1:20.15
1,9.50,1:29.46,4,9.61,1:29.83,2,9.51,,3,9.51,1:29.66
1,9.42,1:38.88,4,9.29,1:39.12,2,9.38,,3,9.41,1:39.07
1,9.42,1:48.30,4,9.47,1:48.59,2,9.38,,3,9.43,1:48.50
1,9.26,1:57.56,4,9.27,1:57.86,2,9.34,,3,9.33,1:57.83
1,9.32,2:06.88,3,9.30,2:07.16,2,9.32,,4,9.40,2:07.23
1,9.51,2:16.39,3,9.40,2:16.56,2,9.49,,4,9.43,2:16.66
1,9.45,2:25.84,3,9.45,2:26.01,2,9.44,,4,9.57,2:26.23
1,9.39,2:35.23,2,9.32,2:35.33,3,9.44,,4,9.31,2:35.54
1,9.40,2:44.63,2,9.40,2:44.73,3,9.61,,4,9.75,2:45.29
1,9.35,2:53.98,2,9.34,2:54.07,3,9.21,,4,9.29,2:54.58
1,9.30,3:03.28,2,9.38,3:03.45,3,9.30,,4,9.14,3:03.72
1,9.23,3:12.51,4,9.62,3:13.07,3,9.43,,2,9.09,3:12.81
1,9.20,3:21.71,4,9.11,3:22.18,3,9.18,,2,9.19,3:22.00
1,9.17,3:30.88,4,9.15,3:31.33,3,9.17,,2,9.15,3:31.15
1,9.04,3:39.92,4,9.44,3:40.77,3,9.41,,2,9.34,3:40.49
1,9.08,3:49.00,4,9.21,3:49.98,3,9.20,,2,9.31,3:49.80
1,9.11,3:58.11,4,9.21,3:59.19,2,9.17,,3,9.35,3:59.15
1,9.12,4:07.23,4,9.19,4:08.38,2,9.11,,3,9.21,4:08.36
1,9.32,4:16.530,3,9.11,4:17.468,2,8.85,,2,8.97,4:17.296
