Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
1,6.87,6.87,4,7.24,7.24,3,7.20,7.20,2,7.03,7.03
1,9.08,15.95,4,9.02,16.26,3,8.97,16.17,2,9.07,16.10
1,8.53,24.48,4,8.52,24.78,2,8.38,24.55,3,8.53,24.63
2,8.72,33.20,4,8.74,33.52,1,8.57,33.12,3,8.67,33.30
2,8.82,42.011,4,8.86,42.372,1,8.62,41.732,3,8.73,42.030
