Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME,V Gundmi RAGHAVENDRA POSITION,V Gundmi RAGHAVENDRA LAP TIME,V Gundmi RAGHAVENDRA ELAPSED TIME
3,14.55,14.55,2,14.38,14.38,1,14.18,14.18,4,14.72,14.72
3,11.33,25.88,2,11.30,25.68,1,11.37,25.55,4,11.28,26.00
3,11.04,36.92,2,11.09,36.77,1,11.12,36.67,4,11.07,37.07
3,11.11,48.03,2,11.10,47.87,1,11.07,47.74,4,11.04,48.11
3,10.48,58.51,2,10.52,58.39,1,10.58,58.32,4,10.70,58.81
2,9.83,1:08.34,1,9.85,1:08.24,3,10.27,1:08.59,4,10.20,1:09.01
2,9.39,1:17.73,1,9.40,1:17.64,3,10.06,1:18.65,4,10.18,1:19.19
2,9.09,1:26.82,1,9.10,1:26.74,3,10.32,1:28.97,4,10.28,1:29.47
2,9.28,1:36.099,1,9.12,1:35.855,3,10.43,1:39.397,4,10.94,1:40.409
