Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
2,12.82,12.82,3,12.97,12.97,4,13.08,13.08,1,12.80,12.80
2,10.01,22.83,3,9.99,22.96,4,9.95,23.03,1,9.92,22.72
1,9.72,32.55,3,9.84,32.80,4,9.86,32.89,2,9.95,32.67
1,9.85,42.40,3,9.80,42.60,4,9.77,42.66,2,9.82,42.49
1,9.92,52.32,3,9.91,52.51,4,9.92,52.58,2,9.92,52.41
1,9.79,1:02.11,3,9.80,1:02.31,4,9.82,1:02.40,2,9.89,1:02.30
2,9.83,1:11.94,1,9.54,1:11.85,4,9.64,1:12.04,3,9.73,1:12.03
2,9.55,1:21.49,1,9.58,1:21.43,4,9.79,1:21.83,3,9.59,1:21.62
2,9.87,1:31.359,1,9.76,1:31.187,4,10.05,1:31.879,3,9.94,1:31.559
