KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME
3,13.46,13.46,2,13.13,13.13,1,13.11,13.11
2,9.89,23.35,3,10.33,23.46,1,10.13,23.24
2,9.66,33.01,3,9.84,33.30,1,9.72,32.96
2,9.81,42.82,3,9.60,42.90,1,9.71,42.67
2,9.96,52.78,3,10.05,52.95,1,9.81,52.48
2,9.84,1:02.62,3,9.76,1:02.71,1,10.03,1:02.51
2,9.51,1:12.13,3,9.49,1:12.20,1,9.55,1:12.06
2,9.46,1:21.59,3,9.51,1:21.71,1,9.45,1:21.51
2,9.48,1:31.07,3,9.49,1:31.20,1,9.44,1:30.95
2,9.39,1:40.46,3,9.35,1:40.55,1,9.44,1:40.39
2,9.76,1:50.22,3,9.71,1:50.26,1,9.79,1:50.18
2,9.58,1:59.80,3,9.61,1:59.87,1,9.41,1:59.59
2,9.17,2:08.97,3,9.14,2:09.01,1,9.32,2:08.91
2,9.36,2:18.33,3,9.37,2:18.38,1,9.31,2:18.22
1,9.22,2:27.55,3,9.51,2:27.89,2,9.41,2:27.63
1,9.10,2:36.65,3,9.13,2:37.02,2,9.33,2:36.96
1,9.48,2:46.13,3,16.33,2:53.35,2,16.19,2:53.15
1,9.80,2:55.93,3,9.83,3:03.18,2,9.28,3:02.43
1,10.25,3:06.18,3,9.63,3:12.81,2,9.68,3:12.11
1,10.16,3:16.34,3,9.06,3:21.87,2,9.51,3:21.62
1,8.97,3:25.31,2,9.10,3:30.97,3,9.78,3:31.40
1,9.23,3:34.54,3,9.95,3:40.92,2,9.39,3:40.79
1,10.43,3:44.97,3,9.13,3:50.05,2,9.10,3:49.89
1,8.75,3:53.72,3,18.14,4:08.19,2,9.53,3:59.42
1,10.13,4:03.85,3,11.38,4:19.57,2,9.50,4:08.92
1,9.93,4:13.78,3,10.44,4:30.01,2,10.79,4:19.71
1,9.18,4:22.960,2,10.52,4:40.523,0,,PEN
