Jennifer PICKERING POSITION,Jennifer PICKERING LAP TIME,Jennifer PICKERING ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
2,9.82,9.82,3,9.99,9.99,4,10.01,10.01,5,10.18,10.18,1,9.75,9.75
1,12.19,22.01,4,12.32,22.31,3,12.20,22.21,5,12.26,22.44,2,12.38,22.13
2,11.72,33.73,5,11.92,34.23,4,11.83,34.04,1,10.97,33.41,3,11.78,33.91
2,10.16,43.89,5,9.98,44.21,4,10.02,44.06,1,9.96,43.37,3,10.12,44.03
1,10.27,54.16,5,10.28,54.49,4,10.30,54.36,3,10.93,54.30,2,10.20,54.23
1,11.12,1:05.28,5,11.20,1:05.69,4,11.24,1:05.60,3,11.23,1:05.53,2,11.20,1:05.43
1,11.59,1:16.87,5,11.49,1:17.18,2,11.34,1:16.94,3,11.44,1:16.97,4,11.55,1:16.98
3,10.55,1:27.42,5,10.50,1:27.68,1,10.25,1:27.19,2,10.30,1:27.27,4,10.56,1:27.54
3,10.77,1:38.19,5,10.72,1:38.40,1,10.77,1:37.96,2,10.79,1:38.06,4,10.78,1:38.32
5,10.37,1:48.56,4,10.09,1:48.49,1,10.29,1:48.25,2,10.23,1:48.29,3,10.06,1:48.38
5,10.23,1:58.79,3,9.83,1:58.32,1,9.88,1:58.13,3,10.03,1:58.32,2,9.82,1:58.20
5,10.45,2:09.24,3,9.84,2:08.16,1,9.89,2:08.02,4,9.89,2:08.21,2,9.87,2:08.07
5,10.96,2:20.20,1,9.95,2:18.11,4,10.30,2:18.32,3,10.02,2:18.23,2,10.06,2:18.13
4,11.42,2:31.62,1,10.08,2:28.19,5,37.26,2:55.58,3,10.15,2:28.38,2,10.17,2:28.30
