Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
3,15.06,15.06,2,15.02,15.02,1,14.93,14.93
3,10.89,25.95,1,10.71,25.73,2,10.89,25.82
3,10.55,36.50,1,10.56,36.29,2,10.56,36.38
3,10.39,46.89,1,10.50,46.79,2,10.47,46.85
2,9.91,56.80,1,9.85,56.64,3,10.11,56.96
2,9.74,1:06.54,1,9.81,1:06.45,3,9.85,1:06.81
2,9.99,1:16.53,1,9.98,1:16.43,3,10.21,1:17.02
2,10.43,1:26.96,1,10.42,1:26.85,3,11.45,1:28.47
2,10.38,1:37.335,1,10.32,1:37.162,3,13.22,1:41.685
