Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME
3,14.52,14.52,1,14.26,14.26,4,14.68,14.68,2,14.40,14.40
3,10.96,25.48,1,11.02,25.28,4,10.98,25.66,2,10.99,25.39
3,10.70,36.18,1,10.68,35.96,4,10.66,36.32,2,10.66,36.05
3,10.40,46.58,1,10.41,46.37,4,10.39,46.71,2,10.48,46.53
3,10.17,56.75,1,10.21,56.58,4,10.20,56.91,2,10.15,56.68
3,10.17,1:06.92,1,10.23,1:06.81,4,10.20,1:07.11,2,10.23,1:06.91
2,10.24,1:17.16,1,10.19,1:17.00,4,10.30,1:17.41,3,10.33,1:17.24
4,10.32,1:27.48,1,9.98,1:26.98,3,9.82,1:27.23,2,9.95,1:27.19
4,10.58,1:38.056,2,10.02,1:36.996,1,9.73,1:36.959,3,10.21,1:37.399
