Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME
3,8.96,8.96,1,8.63,8.63,4,9.06,9.06,5,9.14,9.14,2,8.67,8.67
3,13.23,22.20,2,13.44,22.08,4,13.31,22.37,5,13.40,22.55,1,13.25,21.92
3,12.30,34.50,2,12.18,34.26,4,12.28,34.65,5,12.13,34.69,1,12.32,34.25
3,11.71,46.22,2,11.68,45.95,4,11.68,46.33,5,11.76,46.46,1,11.46,45.71
3,10.89,57.11,2,10.99,56.94,4,10.91,57.25,5,10.93,57.39,1,11.15,56.87
3,10.91,1:08.02,2,10.90,1:07.84,4,10.82,1:08.07,5,10.82,1:08.22,1,10.80,1:07.68
3,10.27,1:18.30,2,10.22,1:18.07,4,10.30,1:18.38,5,10.26,1:18.48,1,10.35,1:18.03
3,9.54,1:27.84,1,9.36,1:27.44,4,9.46,1:27.85,5,9.50,1:27.99,2,9.56,1:27.59
3,9.41,1:37.26,1,9.67,1:37.11,5,9.54,1:37.39,4,9.32,1:37.32,2,9.55,1:37.15
2,9.18,1:46.44,3,9.35,1:46.46,4,9.29,1:46.69,1,9.07,1:46.39,5,9.54,1:46.69
1,8.99,1:55.44,2,9.05,1:55.51,5,9.33,1:56.03,3,9.24,1:55.64,4,9.28,1:55.98
1,9.25,2:04.69,3,9.31,2:04.83,5,10.30,2:06.33,2,9.16,2:04.81,4,9.65,2:05.63
2,9.33,2:14.02,3,9.47,2:14.30,5,11.47,2:17.80,1,9.09,2:13.90,4,10.22,2:15.86
2,9.65,2:23.670,3,10.10,2:24.392,5,12.27,2:30.069,1,9.61,2:23.502,4,11.60,2:27.456
