J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Gabriel CHIASSON-POIRIER POSITION,Gabriel CHIASSON-POIRIER LAP TIME,Gabriel CHIASSON-POIRIER ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
3,13.11,13.11,4,13.20,13.20,2,12.97,12.97,1,12.84,12.84
2,9.93,23.04,4,10.00,23.20,3,10.18,23.15,1,10.17,23.01
3,9.45,32.49,2,9.13,32.33,4,9.43,32.58,1,9.29,32.30
3,9.16,41.65,2,9.21,41.54,4,9.16,41.74,1,9.12,41.42
3,9.21,50.86,2,9.22,50.76,4,9.23,50.97,1,9.27,50.69
2,8.99,59.85,1,9.05,59.81,4,9.09,1:00.06,3,9.26,59.95
1,9.00,1:08.85,2,9.19,1:09.00,4,9.28,1:09.34,3,9.30,1:09.25
1,8.95,1:17.80,2,9.27,1:18.27,4,9.47,1:18.81,3,9.44,1:18.69
1,9.40,1:27.196,2,9.41,1:27.671,4,9.48,1:28.282,3,9.51,1:28.195
