SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME
1,7.17,7.17,3,7.55,7.55,4,7.70,7.70,2,7.23,7.23
2,9.59,16.76,3,9.69,17.24,4,9.86,17.56,1,9.49,16.72
2,9.08,25.84,3,9.09,26.33,4,9.79,27.35,1,9.03,25.75
2,9.31,35.15,3,9.11,35.44,4,10.06,37.41,1,9.27,35.02
2,9.32,44.465,3,9.18,44.615,4,10.61,48.014,1,9.41,44.431
