Paul BEAUCHAMP POSITION,Paul BEAUCHAMP LAP TIME,Paul BEAUCHAMP ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
1,7.30,7.30,4,7.85,7.85,3,7.53,7.53,2,7.35,7.35
2,9.21,16.51,4,9.09,16.94,3,9.07,16.60,1,8.96,16.31
4,8.84,25.35,3,8.39,25.33,2,8.50,25.10,1,8.73,25.04
4,8.96,34.31,3,8.77,34.10,1,8.54,33.64,2,9.06,34.10
4,9.28,43.581,3,9.04,43.136,1,8.73,42.370,2,8.86,42.959
