Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME
2,13.001,13.001,3,13.181,13.181,1,12.928,12.928,4,13.222,13.222
2,10.340,23.340,4,10.298,23.479,1,10.364,23.292,3,10.151,23.374
3,10.388,33.728,4,10.322,33.801,2,10.268,33.560,1,10.140,33.514
1,9.859,43.586,4,10.008,43.809,2,10.077,43.636,3,10.153,43.667
3,10.012,53.599,4,9.971,53.781,2,9.958,53.594,1,9.706,53.373
2,9.421,1:03.020,4,9.374,1:03.154,3,9.449,1:03.044,1,9.469,1:02.842
2,9.232,1:12.252,1,9.038,1:12.192,3,9.444,1:12.487,4,9.694,1:12.536
1,9.357,1:21.609,2,9.488,1:21.680,3,9.316,1:21.803,4,9.666,1:22.202
1,9.482,1:31.091,3,9.590,1:31.270,2,9.417,1:31.221,4,9.808,1:32.010
