PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME
2,13.49,13.49,3,13.57,13.57,4,13.77,13.77,1,13.47,13.47
1,11.07,24.57,3,11.17,24.75,4,11.13,24.90,2,11.09,24.57
1,10.45,35.03,3,10.37,35.13,4,10.35,35.26,2,10.52,35.09
1,10.11,45.14,2,10.06,45.19,4,10.05,45.31,3,10.18,45.28
2,9.78,54.93,1,9.70,54.90,4,9.74,55.06,3,9.65,54.93
1,9.76,1:04.69,4,9.98,1:04.88,2,9.66,1:04.73,3,9.87,1:04.81
1,9.68,1:14.37,3,9.62,1:14.50,4,9.94,1:14.67,2,9.59,1:14.40
1,9.95,1:24.33,3,9.92,1:24.43,4,9.81,1:24.48,2,9.94,1:24.35
1,10.12,1:34.449,3,10.30,1:34.728,4,10.46,1:34.936,2,10.19,1:34.540
