TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,Tobias PIETZSCH POSITION,Tobias PIETZSCH LAP TIME,Tobias PIETZSCH ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME,Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
3,13.60,13.60,4,13.71,,2,13.48,13.48,6,14.02,14.02,1,13.23,13.23,5,13.87,13.87
3,9.50,23.10,4,9.47,,2,9.51,22.99,6,9.49,23.51,1,9.65,22.88,5,9.41,23.28
3,9.38,32.48,5,9.54,,2,9.37,32.36,6,9.32,32.83,1,9.38,32.26,4,9.33,32.61
3,9.27,41.75,5,9.23,,2,9.30,41.66,6,9.42,42.25,1,9.29,41.55,4,9.23,41.84
4,9.36,51.11,5,9.31,,2,9.28,50.94,6,9.55,51.80,1,9.25,50.80,3,9.17,51.01
3,9.00,1:00.11,5,9.01,,3,9.17,1:00.11,6,9.89,1:01.69,1,9.09,59.89,2,8.96,59.97
3,9.01,1:09.12,5,9.06,,4,9.15,1:09.26,6,10.50,1:12.19,2,9.20,1:09.09,1,9.03,1:09.00
1,9.05,1:18.17,4,9.40,,3,9.38,1:18.64,5,11.60,1:23.79,6,23.29,1:32.38,2,9.33,1:18.33
1,9.09,1:27.26,4,10.61,,3,9.55,1:28.190,4,12.14,1:35.930,5,19.59,1:51.978,2,9.51,1:27.84
